Call_ID,WrapUpName,TimeStamp,AgentFirstName,HangUpOrder,TalkTime
0x2BFD23E2AFB30083,V.Test Call,2/6/2022 9:01,CE101619856,1,15
0x2BFD23E2AFB50083,E. Reminder Call -Service Or Complaint,2/6/2022 9:03,CE011929747,2,182
0x2BFD23E2AFBF0083,C. Service Request Call - Customer,2/6/2022 9:07,CE0821939593,3,329
0x2BFD23E2AFC30083,C. Service Request Call - Customer,2/6/2022 9:05,CE0821939700,4,261
0x2BFD23E2AFC60083,C. Service Request Call - Customer,2/6/2022 9:04,CE0921939837,5,161
0x2BFD23E2AFCC0083,(auto),2/6/2022 9:07,CE1021940329,6,283
0x2BFD23E2AFD10083,E. Reminder Call -Service Or Complaint,2/6/2022 9:06,CE1021940769,7,237
0x2BFD23E2AFD30083,E. Reminder Call -Service Or Complaint,2/6/2022 9:04,CE1021940881,8,174
0x2BFD23E2AFD50083,H.Call Transferred - Sales,2/6/2022 9:04,CE1121941094,9,397
0x2BFD23E2AFD70083,A. Fresh Installation Call - Customer,2/6/2022 9:13,CE1121941505,10,673
0x2BFD23E2AFDB0083,C. Service Request Call - Customer,2/6/2022 9:05,CE0322943949,11,201
0x2BFD23E2AFDE0083,C. Service Request Call - Customer,2/6/2022 9:05,CE0422944328,12,160
0x2BFD23E2AFEE0083,A. Fresh Installation Call - Customer,2/6/2022 9:16,CE0622945428,13,755
0x2BFD23E2B00B0083,E. Reminder Call -Service Or Complaint,2/6/2022 9:07,CE0822947172,14,203
0x2BFD23E2B0130083,A. Fresh Installation Call - Customer,2/6/2022 9:11,CE0922947529,15,425
0x2BFD23E2B01A0083,U.Enquiry Call,2/6/2022 9:06,CE101619856,16,150
0x2BFD23E2B01F0083,H.Call Transferred - Sales,2/6/2022 9:05,CE011929747,17,307
0x2BFD23E2B0220083,A. Fresh Installation Call - Customer,2/6/2022 9:08,CE0821939593,18,294
0x2BFD23E2B0280083,M.Re-Installtion or De-Installation,2/6/2022 9:08,CE0821939700,19,237
0x2BFD23E2B02A0083,K. Call Transferred - Escalation,2/6/2022 9:11,CE0921939837,20,457
0x2BFD23E2B02E0083,C. Service Request Call - Customer,2/6/2022 9:09,CE1021940329,21,310
0x2BFD23E2B0330083,C. Service Request Call - Customer,2/6/2022 9:08,CE1021940769,22,203
0x2BFD23E2B0390083,C. Service Request Call - Customer,2/6/2022 9:07,CE1021940881,23,166
0x2BFD23E2B03B0083,WhatsApp Diverted,2/6/2022 9:07,CE1121941094,24,138
0x2BFD23E2B03F0083,C. Service Request Call - Customer,2/6/2022 9:07,CE1121941505,25,196
0x2BFD23E2B0540083,WhatsApp Diverted,2/6/2022 9:07,CE0322943949,26,110
0x2BFD23E2B05C0083,C. Service Request Call - Customer,2/6/2022 9:08,CE0422944328,27,165
0x2BFD23E2B08E0083,C. Service Request Call - Customer,2/6/2022 9:08,CE0622945428,28,144
0x2BFD23E2B0940083,C. Service Request Call - Customer,2/6/2022 9:10,CE0822947172,29,256
0x2BFD23E2B09C0083,(auto),2/6/2022 9:06,CE0922947529,30,26
0x2BFD23E2B0A10083,C. Service Request Call - Customer,2/6/2022 9:10,CE101619856,31,242
0x2BFD23E2B0AD0083,C. Service Request Call - Customer,2/6/2022 9:10,CE011929747,32,164
0x2BFD23E2B0AF0083,C. Service Request Call - Customer,2/6/2022 9:11,CE0821939593,33,247
0x2BFD23E2B0B10083,C. Service Request Call - Customer,2/6/2022 9:09,CE0821939700,34,133
0x2BFD23E2B0B30083,E. Reminder Call -Service Or Complaint,2/6/2022 9:11,CE0921939837,35,253
0x2BFD23E2B0B50083,WhatsApp Diverted,2/6/2022 9:08,CE1021940329,36,111
0x2BFD23E2B0C40083,A. Fresh Installation Call - Customer,2/6/2022 9:14,CE1021940769,37,428
0x2BFD23E2B0D30083,F.Reminder Call - Installation,2/6/2022 9:10,CE1021940881,38,165
0x2BFD23E2B0D50083,R.Blank Call,2/6/2022 9:08,CE1121941094,39,36
0x2BFD23E2B0D70083,E. Reminder Call -Service Or Complaint,2/6/2022 9:11,CE1121941505,40,184
0x2BFD23E2B0E40083,AgentToAgent,2/6/2022 9:14,CE0322943949,41,901
0x2BFD23E2B0F00083,A. Fresh Installation Call - Customer,2/6/2022 9:16,CE0422944328,42,498
0x2BFD23E2B0F20083,C. Service Request Call - Customer,2/6/2022 9:10,CE0622945428,43,137
0x2BFD23E2B0FF0083,WhatsApp Diverted,2/6/2022 9:10,CE0822947172,44,117
0x2BFD23E2B1070083,C. Service Request Call - Customer,2/6/2022 9:13,CE0922947529,45,297
0x2BFD23E2B10C0083,NotExistingObject,2/6/2022 9:08,CE101619856,46,0
0x2BFD23E2B10E0083,R.Blank Call,2/6/2022 9:09,CE011929747,47,24
0x2BFD23E2B11C0083,A. Fresh Installation Call - Customer,2/6/2022 9:22,CE0821939593,48,503
0x2BFD23E2B12A0083,WhatsApp Diverted,2/6/2022 9:10,CE0821939700,49,62
0x2BFD23E2B12E0083,C. Service Request Call - Customer,2/6/2022 9:15,CE0921939837,50,345
0x2BFD23E2B1360083,R.Blank Call,2/6/2022 9:10,CE1021940329,51,34
0x2BFD23E2B1380083,U.Enquiry Call,2/6/2022 9:11,CE1021940769,52,140
0x2BFD23E2B13C0083,C. Service Request Call - Customer,2/6/2022 9:15,CE1021940881,53,353
0x2BFD23E2B15C0083,WhatsApp Diverted,2/6/2022 9:11,CE1121941094,54,89
0x2BFD23E2B1660083,R.Blank Call,2/6/2022 9:10,CE1121941505,55,11
0x2BFD23E2B16B0083,WhatsApp Diverted,2/6/2022 9:11,CE0322943949,56,75
0x2BFD23E2B16F0083,C. Service Request Call - Customer,2/6/2022 9:13,CE0422944328,57,198
0x2BFD23E2B1740083,C. Service Request Call - Customer,2/6/2022 9:15,CE0622945428,58,290
0x2BFD23E2B1760083,C. Service Request Call - Customer,2/6/2022 9:12,CE0822947172,59,162
0x2BFD23E2B17A0083,R.Blank Call,2/6/2022 9:11,CE0922947529,60,36
0x2BFD23E2B17E0083,C. Service Request Call - Customer,2/6/2022 9:14,CE101619856,61,253
